,max 2005-2014,min 2005-2014,max 2015,min 2015
11-20,305.84375,229.75,316.5,248.0
11-21,307.57142857142856,232.13888888888889,317.25,249.0
11-22,311.9310344827586,237.42307692307693,312.5,245.5
11-23,311.93333333333334,234.41935483870967,322.25,247.0
11-24,310.75757575757575,236.6969696969697,302.0,244.0
11-25,311.56666666666666,235.12,314.75,242.66666666666666
11-26,314.44117647058823,232.375,312.75,247.0
11-27,309.6551724137931,233.42857142857142,314.25,242.25
11-28,309.8235294117647,234.08,319.75,243.33333333333334
11-29,308.6333333333333,236.20689655172413,317.75,247.0
11-30,303.03225806451616,232.8148148148148,320.25,241.0
12-01,306.03225806451616,232.32258064516128,309.3333333333333,235.0
12-02,301.59375,235.07407407407408,310.25,238.66666666666666
12-03,306.55172413793105,232.5,325.6666666666667,247.5
12-04,300.4516129032258,228.3846153846154,320.0,242.33333333333334
12-05,299.3333333333333,230.7941176470588,321.3333333333333,249.33333333333334
12-06,306.03125,233.25,319.0,248.0
12-07,307.9310344827586,231.13793103448276,313.75,248.0
12-08,300.6666666666667,233.92307692307693,317.75,240.66666666666666
12-09,303.78125,230.89285714285714,307.5,245.0
12-10,306.9310344827586,237.56666666666666,321.75,254.0
12-11,301.80645161290323,231.64285714285714,311.0,238.25
12-12,308.55172413793105,236.28947368421052,312.6666666666667,240.0
12-13,310.7586206896552,233.41666666666666,285.75,236.0
12-14,307.7586206896552,232.38709677419354,312.3333333333333,241.25
12-15,307.5,235.0,277.6666666666667,248.0
12-16,304.75,234.33333333333334,308.6666666666667,248.33333333333334
12-17,302.0,231.65217391304347,305.5,250.0
12-18,298.5,233.40740740740742,301.25,250.66666666666666
12-19,291.21875,230.03571428571428,320.25,248.0
12-20,301.10714285714283,230.61290322580646,325.0,248.25
12-21,305.1666666666667,231.9090909090909,328.0,242.0
12-22,302.4193548387097,237.85714285714286,322.0,244.5
12-23,300.2068965517241,234.0,327.0,239.75
12-24,294.6551724137931,232.54545454545453,303.0,238.5
12-25,295.16129032258067,228.6551724137931,322.0,235.0
12-26,297.41379310344826,235.1764705882353,321.25,253.5
12-27,300.85185185185185,238.33333333333334,321.0,245.75
12-28,291.18518518518516,235.85714285714286,316.5,244.0
12-29,298.96774193548384,233.53571428571428,298.25,242.66666666666666
12-30,302.5,234.2,314.25,239.0
12-31,305.7096774193548,233.10344827586206,318.25,245.0
